Tahun,KabPacitan,KabPonorogo,Trenggalek,Tulungagung,Blitar,Kediri,Malang,Lumajang,Jember,Banyuwangi,Bondowoso,Situbondo,Probolinggo,Pasuruan,Sidoarjo,Mojokerto,Jombang,Nganjuk,Madiun,Magetan,Ngawi,Bojonegoro,Tuban,Lamongan,Gresik,Bangkalan,Sampang,Pamekasan,Sumenep,KediriKota,BlitarKota,MalangKota,Probolinggokota,PasuruanKota,MojokertoKota,MadiunKota,Surabaya,Batu,4_MA_singlepacitan,4_MA_singleponorogo,4_MA_singletrenggalek,4_MA_singletulungagung,4_MA_singleblitar,4_MA_singlekediri,4_MA_singlemalang,4_MA_singlelumajang,4_MA_singlejember,4_MA_singlebanyuwangi,4_MA_singlebondowoso,4_MA_singlesitubondo,4_MA_singleprobolinggo,4_MA_singlepasuruan,4_MA_singlesidoarjo,4_MA_singlemojokerto,4_MA_singlejombang,4_MA_singlenganjuk,4_MA_singlemadiun,4_MA_singlemagetan,4_MA_singlengawi,4_MA_singlebojonegoro,4_MA_singletuban,4_MA_singlelamongan,4_MA_singlegresik,4_MA_singlebangkalan,4_MA_singlesampang,4_MA_singlepamekasan,4_MA_singlesumenep,4_MA_singlekediriKota,4_MA_singleblitarKota,4_MA_singlemalangKota,4_MA_singleprobolinggoKota,4_MA_singlepasuruanKota,4_MA_singlemojokertoKota,4_MA_singlemadiunKota,4_MA_singlesurabaya,4_MA_singlebatu,4_MA_doubleKabPacitan,4_MA_doubleKabPonorogo,4_MA_doubleTrenggalek,4_MA_doubleTulungagung,4_MA_doubleBlitar,4_MA_doubleKediri,4_MA_doubleMalang,4_MA_doubleLumajang,4_MA_doubleJember,4_MA_doubleBanyuwangi,4_MA_doubleBondowoso,4_MA_doubleSitubondo,4_MA_doubleProbolinggo,4_MA_doublePasuruan,4_MA_doubleSidoarjo,4_MA_doubleMojokerto,4_MA_doubleJombang,4_MA_doubleNganjuk,4_MA_doubleMadiun,4_MA_doubleMagetan,4_MA_doubleNgawi,4_MA_doubleBojonegoro,4_MA_doubleTuban,4_MA_doubleLamongan,4_MA_doubleGresik,4_MA_doubleBangkalan,4_MA_doubleSampang,4_MA_doublePamekasan,4_MA_doubleSumenep,4_MA_doubleKediriKota,4_MA_doubleBlitarKota,4_MA_doubleMalangKota,4_MA_doubleProbolinggoKota,4_MA_doublePasuruanKota,4_MA_doubleMojokertoKota,4_MA_doubleMadiunKota,4_MA_doubleSurabaya,4_MA_doubleBatu
2009,57783,61101,29806,95218,139542,114751,142344,145947,225417,133045,164316,166998,158929,102527,11338,65969,86260,225417,42256,76722,61757,167624,191122,69968,57181,155454,123597,123597,296978,4404,3439,2745,8869,898,299,848,411,3565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,61612,63995,30980,99836,144790,123954,147865,157527,237675,142417,172877,179788,177170,107869,11572,69511,91493,195997,44568,81036,66278,182937,202835,75575,60747,164201,176076,130576,316571,4487,3850,2786,9798,894,310,948,365,3687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,86138,89148,42560,129678,189378,268139,225895,200577,324230,143852,203735,204925,287480,110700,8768,90996,103014,176612,62375,107263,101047,190879,312013,109972,53020,193576,196414,127674,357038,6236,3409,4430,10071,820,384,379,1126,3347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,94735,84315,43411,129549,200008,287943,240746,210039,350170,163850,212621,214900,296867,114579,10078,99965,115852,166215,68831,114630,110850,201992,314810,116963,58268,205157,196807,142445,360862,6251,3549,4433,10473,596,355,385,740,3237,75067.0,74639.75,36689.25,113570.25,168429.5,198696.75,189212.5,178522.5,284373.0,145791.0,188387.25,191652.75,230111.5,108918.75,10439.0,81610.25,99154.75,191060.25,54507.5,94912.75,84983.0,185858.0,255195.0,93119.5,57304.0,179597.0,173223.5,131073.0,332862.25,5344.5,3561.75,3598.5,9802.75,802.0,337.0,640.0,660.5,3459.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,76546,84751,29906,91789,132934,181727,189145,164892,217763,91384,188740,159308,239564,92174,9458,65843,68926,134255,46500,96185,90692,160037,311359,96714,44270,186027,180849,149855,345095,3510,2689,4241,8519,334,162,299,218,2437,79757.75,80552.25,36714.25,112713.0,166777.5,215440.75,200912.75,183258.75,282459.5,135375.75,194493.25,189730.25,250270.25,106330.5,9969.0,81578.75,94821.25,168269.75,55568.5,99778.5,92216.75,183961.25,285254.25,99806.0,54076.25,187240.25,187536.5,137637.5,344891.5,5121.0,3374.25,3972.5,9715.25,661.0,302.75,502.75,612.25,3177.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,81954,84514,31431,98987,135592,192631,199453,172920,236198,108139,205321,169978,244718,100841,9356,50801,69821,134566,56838,106913,81373,172673,314937,99013,47254,191245,203863,152045,349081,3600,2797,4039,8863,305,154,303,116,2700,84843.25,85682.0,36827.0,112500.75,164478.0,232610.0,213809.75,187107.0,282090.25,126806.25,202604.25,187277.75,267157.25,104573.5,9415.0,76901.25,89403.25,152912.0,58636.0,106247.75,95990.5,181395.25,313279.75,105665.5,50703.0,194001.25,194483.25,143004.75,353019.0,4899.25,3111.0,4285.75,9481.5,513.75,263.75,341.5,550.0,2930.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,83659,81807,32668,104824,139372,202263,212821,182993,243390,111304,210650,172528,256249,105469,9507,52891,72887,138522,58174,107683,84149,186861,324295,101790,50064,197675,211176,155086,353124,3764,2920,3858,9217,332,127,306,265,2655,84223.5,83846.75,34354.0,106287.25,151976.5,216141.0,210541.25,182711.0,261880.25,118669.25,204333.0,179178.5,259349.5,103265.75,9599.75,67375.0,81871.5,143389.5,57585.75,106352.75,91766.0,180390.75,316350.25,103620.0,49964.0,195026.0,198173.75,149857.75,352040.5,4281.25,2988.75,4142.75,9268.0,391.75,199.5,323.25,334.75,2757.25,80972.875,81180.1875,36146.125,111267.8125,162915.375,215722.125,203619.0625,182899.8125,277700.75,131660.5625,197454.4375,186959.8125,251722.125,105772.125,9855.6875,76866.3125,91312.6875,163907.875,56574.4375,101822.9375,91239.0625,182901.3125,292519.8125,100552.75,53011.8125,188966.125,188354.25,140393.25,345703.3125,4911.5,3258.9375,3999.875,9566.875,592.125,275.75,451.875,539.375,3080.875
2016,84393,82102,33887,111016,141347,212376,223717,194049,250112,115386,215184,176398,262408,106252,9802,54575,70448,138601,59518,110228,82197,201954,329272,104779,52858,200279,212776,190635,357422,3686,3076,3708,9592,379,145,306,223,2721,81638.0,83293.5,31973.0,101654.0,137311.25,197249.25,206284.0,178713.5,236865.75,106553.25,204973.75,169553.0,250734.75,101184.0,9530.75,56027.5,70520.5,136486.0,55257.5,105252.25,84602.75,180381.25,319965.75,100574.0,48611.5,193806.5,202166.0,161905.25,351180.5,3640.0,2870.5,3961.5,9047.75,337.5,147.0,303.5,205.5,2628.25,82615.625,83343.625,34967.0625,108288.75,155135.8125,215360.25,207886.9375,182947.5625,265823.9375,121851.125,201601.0625,181434.875,256877.9375,103838.4375,9628.625,70470.625,84154.125,150264.3125,56761.9375,104407.8125,91144.0,181532.125,308712.5,102416.375,50838.6875,192518.5,195589.875,148101.3125,350282.875,4485.375,3086.125,4090.625,9378.125,476.0,228.25,367.75,425.625,2873.1875
2017,86611,81823,34515,114556,148414,223216,234481,203044,253113,116274,219013,171865,266884,112328,11693,55141,66926,138929,60881,117599,79437,218131,334143,107629,54446,206946,215020,192455,361127,4377,3180,3756,9983,428,138,297,129,2685,84154.25,82561.5,33125.25,107345.75,141181.25,207621.5,217618.0,188251.5,245703.25,112775.75,212542.0,172692.25,257564.75,106222.5,10089.5,53352.0,70020.5,137654.5,58852.75,110605.75,81789.0,194904.75,325661.75,103302.75,51155.5,199036.25,210708.75,172555.25,355188.5,3856.75,2993.25,3840.25,9413.75,361.0,141.0,303.0,183.25,2690.25,83714.75,83845.9375,34069.8125,106946.9375,148736.75,213405.4375,212063.25,184195.75,256634.875,116201.125,206113.25,177175.375,258701.5625,103811.4375,9658.75,63413.9375,77953.9375,142610.5,57583.0,107114.625,88537.0625,184268.0,318814.375,103290.5625,50108.5,195467.5,201382.9375,156830.75,352857.125,4169.3125,2990.875,4057.5625,9302.75,401.0,187.8125,317.8125,318.375,2751.5
2018,88633,83248,35853,122652,156386,230020,234761,208242,258205,119834,224917,176311,275565,115768,12441,55329,69670,140024,62099,120677,81017,231120,339563,109757,57281,226897,215664,194283,367382,4382,3225,2389,10397,432,104,290,112,2590,85824.0,82245.0,34230.75,113262.0,146379.75,216968.75,226445.0,197082.0,251205.0,115699.5,217441.0,174275.5,265276.5,109954.25,10860.75,54484.0,69982.75,139019.0,60168.0,114046.75,81700.0,209516.5,331818.25,105988.75,53662.25,207949.25,213659.0,183114.75,359763.75,4052.25,3100.25,3427.75,9797.25,392.75,128.5,299.75,182.25,2662.75,83959.9375,82986.6875,33420.75,107137.25,144212.1875,209495.125,215222.0625,186689.5,248913.5625,113424.4375,209822.4375,173924.8125,258231.375,105156.625,10020.1875,57809.625,73098.8125,139137.25,57966.0,109064.375,84964.4375,191298.3125,323449.0,103371.375,50848.3125,198954.5,206176.875,166858.25,354543.3125,3957.5625,2988.1875,3843.0625,9381.6875,370.75,154.0,307.375,226.4375,2684.625
2019,91339,82995,37315,130316,151164,232567,238282,212673,263739,126451,228445,178162,275764,116339,13782,50404,63102,141171,63180,122028,83431,240665,344203,112193,57569,241437,215772,194182,372623,3673,3467,2533,10764,425,102,239,45,2526,87744.0,82542.0,35392.5,119635.0,149327.75,224544.75,232810.25,204502.0,256292.25,119486.25,221889.75,175684.0,270155.25,112671.75,11929.5,53862.25,67536.5,139681.25,61419.5,117633.0,81520.5,222967.5,336795.25,108589.5,55538.5,218889.75,214808.0,192888.75,364638.5,4029.5,3237.0,3096.5,10184.0,416.0,122.25,283.0,127.25,2630.5,84840.0625,82660.5,33680.375,110474.1875,143550.0,211596.0625,220789.3125,192137.25,247516.5625,113628.6875,214211.625,173051.1875,260932.8125,107508.125,10602.625,54431.4375,69515.0625,138210.1875,58924.4375,111884.4375,82403.0625,201942.5,328560.25,104613.75,52241.9375,204920.4375,210335.4375,177616.0,357692.8125,3894.625,3050.25,3581.5,9610.6875,376.8125,134.6875,297.3125,174.5625,2652.9375
2020,91039,84813,37901,137095,151720,232802,242371,221172,270032,128609,234300,179352,312983,116539,14590,51913,63647,141783,64454,117469,84902,249624,349089,114791,58772,259923,216450,194286,377124,3761,3855,2518,10934,457,88,223,39,2552,89405.5,83219.75,36396.0,126154.75,151921.0,229651.25,237473.75,211282.75,261272.25,122792.0,226668.75,176422.5,282799.0,115243.5,13126.5,53196.75,65836.25,140476.75,62653.5,119443.25,82196.75,234885.0,341749.5,111092.5,57017.0,233800.75,215726.5,193801.5,369564.0,4048.25,3431.75,2799.0,10519.5,435.5,108.0,262.25,81.25,2588.25,86781.9375,82642.0625,34786.125,116599.375,147202.4375,219696.5625,228586.75,200279.5625,253618.1875,117688.375,219635.375,174768.5625,268948.875,111023.0,11501.5625,53723.75,68344.0,139207.875,60773.4375,115432.1875,81801.5625,215568.4375,334006.1875,107243.375,54343.3125,214919.0,213725.5625,185590.0625,362288.6875,3996.6875,3190.5625,3290.875,9978.625,401.3125,124.9375,287.0,143.5,2642.9375
2021,95954,85716,38840,144801,153829,234177,246734,225394,274162,134307,237407,182081,319388,117679,14735,50396,73372,143682,65745,118251,85847,258563,354650,117889,59259,276476,217129,194292,383059,4101,3863,2697,11061,454,103,209,113,2572,91741.25,84193.0,37477.25,133716.0,153274.75,232391.5,240537.0,216870.25,266534.5,127300.25,231267.25,178976.5,295925.0,116581.25,13887.0,52010.5,67447.75,141665.0,63869.5,119606.25,83799.25,244993.0,346876.25,113657.5,58220.25,251183.25,216253.75,194260.75,375047.0,3979.25,3602.5,2534.25,10789.0,442.0,99.25,240.25,77.25,2560.0,88678.6875,83049.9375,35874.125,123191.9375,150225.8125,225889.0625,234316.5,207434.25,258826.0,121319.5,224316.6875,176339.625,278538.9375,113612.6875,12450.9375,53388.375,67700.8125,140210.5,62027.625,117682.3125,82304.125,228090.5,339309.8125,109832.0625,56109.5,227955.75,215111.8125,191016.4375,367253.3125,4027.3125,3342.875,2964.375,10322.4375,421.5625,114.5,271.3125,117.0,2610.375
2022,98153,86259,40034,152539,155944,240852,252930,232944,280067,138544,262003,183902,331294,120328,15150,51131,75215,144911,67127,120014,86531,269803,360473,120843,61220,287921,219107,200933,388090,4214,4044,2767,11429,466,104,205,158,2591,94121.25,84945.75,38522.5,141187.75,153164.25,235099.5,245079.25,223045.75,272000.0,131977.75,240538.75,180874.25,309857.25,117721.25,14564.25,50961.0,68834.0,142886.75,65126.5,119440.5,85177.75,254663.75,352103.75,116429.0,59205.0,266439.25,217114.5,195923.25,380224.0,3937.25,3807.25,2628.75,11047.0,450.5,99.25,219.0,88.75,2560.25,90753.0,83725.125,36947.0625,130173.375,151921.9375,230421.75,238975.0625,213925.1875,264024.75,125389.0625,230091.125,177989.3125,289684.125,115554.4375,13376.8125,52507.625,67413.625,141177.4375,63267.25,119030.75,83173.5625,239377.3125,344381.1875,112442.125,57495.1875,242578.25,215975.6875,194218.5625,372368.375,3998.5625,3519.625,2764.625,10634.875,436.0,107.1875,251.125,93.625,2584.75
